Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
No;2MASS J00000839-3738;;0,03506;-37,63908;;1,07E+20;;;16,2;1,3;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,3;1,04;17,5;0,0;-11,78;0,00;0,00
No;5BZQJ0000-3221;FSRQ;0,08495;-32,35028;1,275;1,03E+20;;;12,5;0,5;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;5BZQJ0001-1551;FSRQ;0,27210;-15,85194;2,044;2,25E+20;;;12,5;0,5;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,3;-0,73;12,3;0,4;-12,31;-12,38;-12,26
Yes;5BZQJ0001+1914;FSRQ;0,28592;19,24283;3,100;3,30E+20;12,7;-12,7;12,7;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 14 arcseconds;;;;;;;
No;3HSPJ000116.4+293535;BL Lac;0,31820;29,59297;0,580;5,10E+20;;;16,1;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 5 arcseconds, vmag=100.0;;;;;;;
No;3HSPJ000117.1-315044;BL Lac;0,32116;-31,84550;0,450;1,32E+20;;;16,7;0,5;Flux too close to background. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,4;;;;;;
Yes;5BZBJ0001-0746;BL Lac;0,32504;-7,77408;;2,85E+20;14,3;-11,6;14,2;0,5;;No possible source for confusion within 20 arcseconds;4,6;0,28;14,7;0,4;-11,35;-11,77;-11,11
Yes;B3 2358+474;;0,32934;47,70020;;9,95E+20;13,8;-12,6;13,5;0,8;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;3,9;0,03;13,7;0,4;-12,55;-12,81;-12,23
No;5BZBJ0001-0011;BL Lac;0,33953;-0,19442;0,462;3,03E+20;;;14,8;1,1;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,9;0,62;16,0;0,4;-12,14;-12,27;-11,98
Yes;3FGL J0001.4+2120;;0,38501;21,22679;;3,61E+20;13,2;-12,0;12,7;0,3;;No possible source for confusion within 20 arcseconds;5,5;-0,06;13,4;0,4;-11,99;-12,29;-11,55
