identifier;type;ra [°];dec [°];redshift
2MASS J00000839-3738;;0,03506;-37,63908;
5BZQJ0000-3221;FSRQ;0,08495;-32,35028;1,275
5BZQJ0001-1551;FSRQ;0,27210;-15,85194;2,044
5BZQJ0001+1914;FSRQ;0,28592;19,24283;3,100
3HSPJ000116.4+293535;BL Lac;0,31820;29,59297;0,580
3HSPJ000117.1-315044;BL Lac;0,32116;-31,84550;0,450
5BZBJ0001-0746;BL Lac;0,32504;-7,77408;
B3 2358+474;;0,32934;47,70020;
5BZBJ0001-0011;BL Lac;0,33953;-0,19442;0,462
3FGL J0001.4+2120;;0,38501;21,22679;
3HSPJ000132.7-415525;BL Lac;0,38643;-41,92364;
ATLAS-VAR-VLASS1;;0,38999;34,57035;
5BZGJ0001-1031;;0,48858;-10,52147;0,252
3HSPJ000158.1-115047;BL Lac;0,49225;-11,84639;0,530
4FGL J0001.8-2153;;0,54992;-21,88607;
3HSPJ000215.2-672653;BL Lac;0,56328;-67,44817;0,520
4FGL J0002.4-5156;;0,62168;-51,87431;
3HSPJ000236.1-081532;BL Lac;0,65025;-8,25900;0,390
5BZBJ0002-0024;BL Lac;0,73817;-0,41308;0,523
PMN J0003-5905;;0,80554;-59,09658;
PKS 0000-197;;0,82781;-19,45621;
5BZQJ0003+2129;FSRQ;0,83058;21,49572;0,450
3HSPJ000319.6-524727;BL Lac;0,83150;-52,79095;0,370
4FGL J0003.5+0717;;0,84684;7,28718;
2MASX J00032450+2204;;0,85218;22,08215;
3FGL J0003.8-1151;;0,92848;-11,86372;
SDSS J000359.23+0841;;0,99679;8,69394;
5BZBJ0004-1148;BL Lac;1,02033;-11,81611;
5BZQJ0004+4615;FSRQ;1,06737;46,25505;1,810
5BZQJ0004-4736;FSRQ;1,14850;-47,60542;0,884
5BZQJ0004+2019;FSRQ;1,14896;20,32850;0,677
3HSPJ000513.7-261438;BL Lac;1,30717;-26,24394;0,320
5BZQJ0005-1648;FSRQ;1,32471;-16,80131;0,780
5BZQJ0005+0524;FSRQ;1,33421;5,40303;1,900
3HSPJ000553.0-284504;BL Lac;1,47079;-28,75108;0,570
5BZQJ0005+3820;FSRQ;1,48825;38,33755;0,229
4FGL J0006.4-5621;;1,49021;-56,47542;0,291
